Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSG00000119326	108942569	109013529	CTNNAL1	9
ENSG00000130159	11505916	11529174	ECSIT	19
ENSG00000106263	2354086	2380745	EIF3B	7
ENSG00000117298	21217247	21345572	ECE1	1
ENSG00000150316	94962622	94973612	CWC15	11
ENSG00000071967	171522247	171558133	CYBRD1	2
ENSG00000146904	143390289	143408892	EPHA1	7
ENSG00000110047	64851642	64888296	EHD1	11
ENSG00000282379	76501267	76505995	DTX2	CHR_HSCHR7_2_CTG4_4
ENSG00000198876	34086387	34127399	DCAF12	9
ENSG00000254598	11351942	11353357	CSNK2A3	11
ENSG00000086061	33025211	33039907	DNAJA1	9
ENSG00000154582	73939169	73972287	ELOC	8
ENSG00000127884	133362480	133373689	ECHS1	10
ENSG00000230700	31647414	31654525	CSNK2B	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000237889	31597175	31606140	DDX39B	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000172771	129401321	129428651	EFCAB12	3
ENSG00000141543	80135214	80147183	EIF4A3	17
ENSG00000115423	84516455	84819589	DNAH6	2
ENSG00000204435	31665236	31670343	CSNK2B	6
ENSG00000280962	12474215	12562388	DUSP16	CHR_HG1362_PATCH
ENSG00000282825	48539046	48867468	CTIF	CHR_HG2213_PATCH
ENSG00000282853	38815458	38832041	ECH1	CHR_HG26_PATCH
ENSG00000284161	21992614	22075077	EEF2K	CHR_HG926_PATCH
ENSG00000284816	143390289	143408892	EPHA1	CHR_HG708_PATCH
ENSG00000284850	1946054	2004535	DCP1B	CHR_HG1815_PATCH
ENSG00000285265	12883682	13404963	DLC1	CHR_HG76_PATCH
ENSG00000280606	7980377	8011988	EIF3F	CHR_HSCHR11_1_CTG1_2
ENSG00000283017	990509	1502861	ERC1	CHR_HSCHR12_2_CTG1
ENSG00000282841	22413601	22417915	CTAGE1	CHR_HSCHR18_5_CTG1_1
ENSG00000283391	206159585	206162928	EEF1B2	CHR_HSCHR2_6_CTG7_2
ENSG00000284166	18387267	18399252	EVPLL	CHR_HSCHR17_3_CTG1
ENSG00000285317	28199456	28233025	DNAJC8	CHR_HSCHR1_8_CTG3
ENSG00000284869	128160361	128415576	EEFSEC	CHR_HSCHR3_9_CTG2_1
ENSG00000135842	184790724	184974550	FAM129A	1
ENSG00000236697	32230151	32234908	GPSM3	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000134202	109733932	109741038	GSTM3	1
ENSG00000119392	128504700	128542288	GLE1	9
ENSG00000005436	75652000	75710989	GCFC2	2
ENSG00000173230	121663199	121749767	GOLGB1	3
ENSG00000143321	156742107	156766925	HDGF	1
ENSG00000157470	59372693	59523549	FAM81A	15
ENSG00000213614	72340919	72376476	HEXA	15
ENSG00000159592	45627304	45688113	GPBP1L1	1
ENSG00000155393	50065941	50106387	HEATR3	16
ENSG00000138081	47789316	47905793	FBXO11	2
ENSG00000261308	51817840	51848766	FIGNL2	12
ENSG00000162613	77944055	77979110	FUBP1	1
ENSG00000172380	67701466	67833467	GNG12	1
ENSG00000167491	19385826	19508931	GATAD2A	19
ENSG00000173020	67266410	67286556	GRK2	11
ENSG00000084110	95972662	95996365	HAL	12
ENSG00000133475	21207973	21227637	GGT2	22
ENSG00000082701	119821323	120094417	GSK3B	3
ENSG00000187664	19255641	19262796	HAPLN4	19
ENSG00000223980	29930538	29999232	HLA-A	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000160818	156594487	156601496	GPATCH4	1
ENSG00000089280	31180110	31194871	FUS	16
ENSG00000118689	108559835	108684774	FOXO3	6
ENSG00000203814	149782689	149812373	HIST2H2BF	1
ENSG00000232143	30586013	30601810	GNL1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000089639	19629476	19643667	GMIP	19
ENSG00000206435	31262172	31265564	HLA-C	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000130119	54530211	54561071	GNL3L	X
ENSG00000197153	27890382	27893106	HIST1H3J	6
ENSG00000278677	27892757	27893149	HIST1H2AM	6
ENSG00000254685	74198212	74234086	FPGT	1
ENSG00000139436	109929792	109996389	GIT2	12
ENSG00000112339	134960378	135103056	HBS1L	6
ENSG00000066455	92794231	92839963	GOLGA5	14
ENSG00000135821	182381704	182392206	GLUL	1
ENSG00000143341	185734551	186190949	HMCN1	1
ENSG00000091483	241497603	241519761	FH	1
ENSG00000143147	168079543	168137667	GPR161	1
ENSG00000198522	27628247	27651508	GPN1	2
ENSG00000068097	60043194	60078931	HEATR6	17
ENSG00000241106	32812763	32820466	HLA-DOB	6
ENSG00000090615	132768909	132828858	GOLGA3	12
ENSG00000172159	83242990	83538546	FRMD3	9
ENSG00000163312	83407343	83455856	HELQ	4
ENSG00000217128	131641714	131797063	FNIP1	5
ENSG00000250571	143267433	143276931	GLI4	8
ENSG00000114480	81489699	81762161	GBE1	3
ENSG00000198265	67070438	67245989	HELZ	17
ENSG00000131149	85169525	85676204	GSE1	16
ENSG00000115806	170928464	170967129	GORASP2	2
ENSG00000169727	82050691	82057470	GPS1	17
ENSG00000182512	95533503	95544724	GLRX5	14
ENSG00000139629	51351247	51392867	GALNT6	12
ENSG00000105509	51713112	51723994	HAS1	19
ENSG00000078369	1785285	1891117	GNB1	1
ENSG00000010704	26087281	26098343	HFE	6
ENSG00000184731	38814	46870	FAM110C	2
ENSG00000169258	176595802	176610133	GPRIN1	5
ENSG00000184922	45221444	45247320	FMNL1	17
ENSG00000243496	32790888	32795173	HLA-DOB	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000162636	108560089	108644900	FAM102B	1
ENSG00000118418	79201245	79234738	HMGN3	6
ENSG00000130244	38403135	38409088	FAM98C	19
ENSG00000130475	17747718	17788568	FCHO1	19
ENSG00000184270	149887524	149887916	HIST2H2AB	1
ENSG00000278311	36544888	36589848	GGNBP2	17
ENSG00000196591	113933028	114011308	HDAC2	6
ENSG00000102302	54445454	54496166	FGD1	X
ENSG00000148834	104235356	104267459	GSTO1	10
ENSG00000213066	166999182	167094789	FGFR1OP	6
ENSG00000115414	215360440	215436172	FN1	2
ENSG00000234508	32198436	32203193	GPSM3	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000182511	90883695	90895776	FES	15
ENSG00000157827	152335237	152649834	FMNL2	2
ENSG00000139132	32399529	32646050	FGD4	12
ENSG00000006625	30496621	30504844	GGCT	7
ENSG00000128731	28111040	28322152	HERC2	15
ENSG00000160396	40379271	40390187	HIPK4	19
ENSG00000105220	34359480	34402413	GPI	19
ENSG00000105679	35533412	35545316	GAPDHS	19
ENSG00000132004	12688053	12696643	FBXW9	19
ENSG00000129514	37589984	37596059	FOXA1	14
ENSG00000189369	51743431	51746232	GSPT2	X
ENSG00000178804	129543214	129551467	H1FOO	3
ENSG00000065970	8032703	8055503	FOXJ2	12
ENSG00000237052	32257772	32262529	GPSM3	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000160767	155247205	155255483	FAM189B	1
ENSG00000164104	173331695	173335125	HMGB2	4
ENSG00000137942	93448131	93554661	FNBP1L	1
ENSG00000082269	70412941	70561174	FAM135A	6
ENSG00000100644	61695513	61748259	HIF1A	14
ENSG00000114541	69169990	69542583	FRMD4B	3
ENSG00000127311	66302545	66347645	HELB	12
ENSG00000176853	123768456	123815452	FAM91A1	8
ENSG00000138796	107989714	108035175	HADH	4
ENSG00000130656	152687	154503	HBZ	16
ENSG00000135968	108448561	108509415	GCC2	2
ENSG00000180921	143723933	143733801	FAM83H	8
ENSG00000147234	107522450	107605251	FRMPD3	X
ENSG00000167674	4472287	4502211	HDGFL2	19
ENSG00000115677	241227264	241317061	HDLBP	2
ENSG00000149557	125442881	125592568	FEZ1	11
ENSG00000165219	125261794	125367207	GAPVD1	9
ENSG00000272196	149851061	149851624	HIST2H2AA4	1
ENSG00000275099	36545260	36590811	GGNBP2	CHR_HSCHR17_7_CTG4
ENSG00000206314	32148372	32153129	GPSM3	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000198830	26472450	26475972	HMGN2	1
ENSG00000139926	51489100	51730727	FRMD6	14
ENSG00000092978	217426992	217631082	GPATCH2	1
ENSG00000198380	69319769	69387254	GFPT1	2
ENSG00000198157	81113701	81201942	HMGN5	X
ENSG00000159069	136940435	136944696	FBXW5	9
ENSG00000096060	35573585	35728583	FKBP5	6
ENSG00000184344	7689782	7695776	GDF3	12
ENSG00000168148	228424845	228425325	HIST3H3	1
ENSG00000206412	30605288	30617469	GNL1	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000087338	69829642	69881396	GMCL1	2
ENSG00000135052	86026146	86100173	GOLM1	9
ENSG00000182890	121047588	121050080	GLUD2	X
ENSG00000237765	15681662	15705565	FAM200B	4
ENSG00000196208	11482341	11642788	GREB1	2
ENSG00000244734	5225464	5229395	HBB	11
ENSG00000135108	117141988	117190531	FBXO21	12
ENSG00000239457	32903640	32907925	HLA-DOB	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000100429	50245183	50251405	HDAC10	22
ENSG00000171723	66507407	67181803	GPHN	14
ENSG00000226882	30533598	30549394	GNL1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000109534	109815510	109824740	GAR1	4
ENSG00000102531	48975912	49209779	FNDC3A	13
ENSG00000100281	35257452	35295807	HMGXB4	22
ENSG00000102393	101397803	101408012	GLA	X
ENSG00000205581	39342315	39349647	HMGN1	21
ENSG00000196924	154348524	154374638	FLNA	X
ENSG00000034713	75566351	75577881	GABARAPL2	16
ENSG00000166923	32717974	32745107	GREM1	15
ENSG00000122694	36136536	36163913	GLIPR2	9
ENSG00000180263	95076749	95217482	FGD6	12
ENSG00000160256	44940010	44976989	FAM207A	21
ENSG00000182952	26538405	26546254	HMGN4	6
ENSG00000105447	48445773	48457022	GRWD1	19
ENSG00000163349	113929192	113977869	HIPK1	1
ENSG00000112855	140691426	140699318	HARS2	5
ENSG00000116580	155749662	155859400	GON4L	1
ENSG00000160360	136327476	136359605	GPSM1	9
ENSG00000075618	5592823	5606655	FSCN1	7
ENSG00000074047	120735623	120992653	GLI2	2
ENSG00000168522	43034194	43085788	FNTA	8
ENSG00000131153	85676198	85690073	GINS2	16
ENSG00000160752	155308748	155320666	FDPS	1
ENSG00000119285	236549005	236604504	HEATR1	1
ENSG00000179115	12922479	12934037	FARSA	19
ENSG00000151422	108747822	109196841	FER	5
ENSG00000112787	132489551	132585188	FBRSL1	12
ENSG00000155816	240014348	240475189	FMN2	1
ENSG00000143614	153789030	153923360	GATAD2B	1
ENSG00000189403	30456704	30617597	HMGB1	13
ENSG00000183598	149813271	149813681	HIST2H3D	1
ENSG00000061273	47782722	47833132	HDAC7	12
ENSG00000089916	76151916	76254342	GPATCH2L	14
ENSG00000171560	154583126	154590766	FGA	4
ENSG00000145907	151771045	151812785	G3BP1	5
ENSG00000179409	744414	753999	GEMIN4	17
ENSG00000138439	202635188	202769757	FAM117B	2
ENSG00000184678	149884459	149886652	HIST2H2BE	1
ENSG00000135436	49582885	49605639	FAM186B	12
ENSG00000072571	163460203	163491945	HMMR	5
ENSG00000188536	172876	173710	HBA2	16
ENSG00000141568	82519713	82644662	FOXK2	17
ENSG00000170445	140673904	140691862	HARS	5
ENSG00000180353	121631399	121660927	HCLS1	3
ENSG00000062194	57173948	57264679	GPBP1	5
ENSG00000166225	69470349	69579789	FRS2	12
ENSG00000168517	45160700	45170040	HEXIM2	17
ENSG00000136935	124878357	124948492	GOLGA1	9
ENSG00000156515	69269984	69401884	HK1	10
ENSG00000172534	153947553	153971807	HCFC1	X
ENSG00000123485	233833416	233854566	HJURP	2
ENSG00000104812	48968125	48993310	GYS1	19
ENSG00000148672	87050486	87094866	GLUD1	10
ENSG00000150510	51222334	51284241	FAM124A	13
ENSG00000233490	32139234	32143991	GPSM3	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000263001	74657667	74760692	GTF2I	7
ENSG00000144674	37243177	37366751	GOLGA4	3
ENSG00000188738	185738895	185833290	FSIP2	2
ENSG00000077235	27459555	27549913	GTF3C1	16
ENSG00000108262	29573469	29594054	GIT1	17
ENSG00000119969	94501434	94613905	HELLS	10
ENSG00000233822	27837760	27865798	HIST1H2BN	6
ENSG00000105723	42230186	42242625	GSK3A	19
ENSG00000124575	26234268	26234933	HIST1H1D	6
ENSG00000107164	130578965	130638352	FUBP3	9
ENSG00000086570	151504093	151568944	FAT2	5
ENSG00000120053	99396870	99431569	GOT1	10
ENSG00000169635	21417404	21451463	HIC2	22
ENSG00000092148	31100112	31207804	HECTD1	14
ENSG00000099284	70052796	70112280	H2AFY2	10
ENSG00000278588	26272976	26273356	HIST1H2BI	6
ENSG00000277075	26216975	26217483	HIST1H2AE	6
ENSG00000177731	18244836	18258916	FLII	17
ENSG00000174021	84498325	84506565	GNG5	1
ENSG00000146067	177519788	177554541	FAM193B	5
ENSG00000227715	30021043	30024386	HLA-A	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000171557	154604134	154612967	FGG	4
ENSG00000173064	112160188	112382439	HECTD4	12
ENSG00000228299	31260956	31264327	HLA-C	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000198855	108515185	108525837	FICD	12
ENSG00000111231	110452484	110469268	GPN3	12
ENSG00000082516	154887416	154938209	GEMIN5	5
ENSG00000171877	43870761	44195252	FRMD5	15
ENSG00000013588	12890782	12917937	GPRC5A	12
ENSG00000163655	155870536	155944026	GMPS	3
ENSG00000143756	224114087	224162047	FBXO28	1
ENSG00000121957	108875350	108934545	GPSM2	1
ENSG00000171564	154562956	154571086	FGB	4
ENSG00000102755	28300344	28495145	FLT1	13
ENSG00000114416	180868141	180982753	FXR1	3
ENSG00000006607	241356243	241494841	FARP2	2
ENSG00000023171	123358428	123627774	GRAMD1B	11
ENSG00000107249	3824127	4348392	GLIS3	9
ENSG00000223609	5232678	5243657	HBD	11
ENSG00000129245	7591230	7614871	FXR2	17
ENSG00000133114	44989529	45037669	GPALPP1	13
ENSG00000147874	19053143	19103119	HAUS6	9
ENSG00000123159	14477760	14496149	GIPC1	19
ENSG00000164970	34398184	34458570	FAM219A	9
ENSG00000149929	29992321	29996436	HIRIP3	16
ENSG00000008869	36968383	37084342	HEATR5B	2
ENSG00000206503	29941260	29945884	HLA-A	6
ENSG00000108592	63819433	63830012	FTSJ3	17
ENSG00000169122	57994509	58204279	FAM110B	8
ENSG00000100226	38705723	38738299	GTPBP1	22
ENSG00000243612	32852194	32856479	HLA-DOB	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000184481	71096197	71103535	FOXO4	X
ENSG00000215269	49570434	49577754	GAGE12G	X
ENSG00000115419	190880827	190965552	GLS	2
ENSG00000187239	129887187	130043194	FNBP1	9
ENSG00000068394	49113389	49123801	GPKOW	X
ENSG00000068438	48476021	48486364	FTSJ1	X
ENSG00000168298	26156354	26157107	HIST1H1E	6
ENSG00000103342	11868128	11916082	GSPT1	16
ENSG00000122068	197737179	197787596	FYTTD1	3
ENSG00000120709	138331935	138349729	FAM53C	5
ENSG00000177733	137745651	137754376	HNRNPA0	5
ENSG00000171262	38454127	38487710	FAM98B	15
ENSG00000069482	68683779	68691175	GAL	11
ENSG00000169508	99294530	99307405	GPR183	13
ENSG00000074696	65530418	65578352	HACD3	15
ENSG00000237022	31312208	31315579	HLA-C	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000004478	2794953	2805423	FKBP4	12
ENSG00000155974	66347431	67069162	GRIP1	12
ENSG00000178974	55271303	55361918	FBXO34	14
ENSG00000157107	72955981	73090522	FCHO2	5
ENSG00000214253	101239458	101252316	FIS1	7
ENSG00000111664	6839954	6847393	GNB3	12
ENSG00000145321	71741693	71804041	GC	4
ENSG00000100225	32474676	32498829	FBXO7	22
ENSG00000073910	31846713	32299122	FRY	13
ENSG00000048052	18086949	19002416	HDAC9	7
ENSG00000167110	128255829	128275995	GOLGA2	9
ENSG00000189064	49589529	49596827	GAGE2A	X
ENSG00000101003	25407727	25452628	GINS1	20
ENSG00000124610	26017085	26017732	HIST1H1A	6
ENSG00000233841	31259794	31263175	HLA-C	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000089351	34994784	35026471	GRAMD1A	19
ENSG00000235657	29879362	29999797	HLA-A	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000164508	25726132	25726527	HIST1H2AA	6
ENSG00000185958	50326230	50396622	FAM186A	12
ENSG00000169562	71215194	71225516	GJB1	X
ENSG00000213934	5248079	5249859	HBG1	11
ENSG00000140382	77420412	77485607	HMG20A	15
ENSG00000261992	153821956	153845579	GATAD2B	CHR_HSCHR1_1_CTG31
ENSG00000132589	28879335	28897679	FLOT2	17
ENSG00000119041	196763032	196799725	GTF3C3	2
ENSG00000149806	65120628	65122473	FAU	11
ENSG00000051009	6211335	6234711	FAM160A2	11
ENSG00000148468	15211643	15371062	FAM171A1	10
ENSG00000105968	44826791	44848083	H2AFV	7
ENSG00000109458	143336762	143474568	GAB1	4
ENSG00000159131	33503931	33543491	GART	21
ENSG00000130956	96450201	96491336	HABP4	9
ENSG00000177051	45710629	45730904	FBXO46	19
ENSG00000170271	154818491	154859252	FAXDC2	5
ENSG00000168143	54846771	54942022	FAM83B	6
ENSG00000233013	138217068	138253217	FAM157B	9
ENSG00000010818	142751467	142956698	HIVEP2	6
ENSG00000152661	121435577	121449727	GJA1	6
ENSG00000183807	116752197	116765723	FAM162B	6
ENSG00000177602	3723903	3726699	HASPIN	17
ENSG00000170412	74424851	74451653	GPRC5C	17
ENSG00000135486	54280193	54287088	HNRNPA1	12
ENSG00000135063	69324567	69392558	FAM189A2	9
ENSG00000198815	42176539	42335877	FOXJ3	1
ENSG00000135547	125747664	125761269	HEY2	6
ENSG00000187866	68780034	68784608	FAM122A	9
ENSG00000196159	125316399	125492932	FAT4	4
ENSG00000100442	45115600	45135319	FKBP3	14
ENSG00000128708	171922448	171983682	HAT1	2
ENSG00000164916	4682309	4771443	FOXK1	7
ENSG00000197837	14767999	14771131	HIST4H4	12
ENSG00000125484	132670035	132694955	GTF3C4	9
ENSG00000059122	2911937	2951208	FLYWCH1	16
ENSG00000185130	27807444	27807931	HIST1H2BL	6
ENSG00000106571	41960950	42237870	GLI3	7
ENSG00000189319	124619292	124744269	FAM53B	10
ENSG00000214336	88446787	88452656	FOXI3	2
ENSG00000130589	63558086	63574239	HELZ2	20
ENSG00000169933	12138466	12724523	FRMPD4	X
ENSG00000184357	27866849	27867529	HIST1H1B	6
ENSG00000001084	53497341	53616970	GCLC	6
ENSG00000122034	27424544	27435823	GTF3A	13
ENSG00000110768	18322295	18367044	GTF2H1	11
ENSG00000075539	48497361	48780322	FRYL	4
ENSG00000100084	19330698	19447450	HIRA	22
ENSG00000204525	31268749	31272130	HLA-C	6
ENSG00000116120	222570536	222656337	FARSB	2
ENSG00000164930	103298433	103332866	FZD6	8
ENSG00000206505	29930625	29999286	HLA-A	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000149403	120511700	120988904	GRIK4	11
ENSG00000137166	41546426	41602384	FOXP4	6
ENSG00000151702	128686535	128813267	FLI1	11
ENSG00000196866	26198851	26199243	HIST1H2AD	6
ENSG00000149948	65824131	65966295	HMGA2	12
ENSG00000153310	129839593	130017129	FAM49B	8
ENSG00000206492	30530868	30546666	GNL1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000125386	2536631	2732565	FAM193A	4
ENSG00000103657	63608618	63833942	HERC1	15
ENSG00000187790	45135940	45200890	FANCM	14
ENSG00000229215	29881755	30002076	HLA-A	CHR_HSCHR6_MHC_APD_CTG1
ENSG00000167191	19856691	19886167	GPRC5B	16
ENSG00000029993	150980509	150990775	HMGB3	X
ENSG00000105202	39834458	39846414	FBL	19
ENSG00000187837	26055787	26056428	HIST1H1C	6
ENSG00000089597	62624826	62646726	GANAB	11
ENSG00000116478	32292086	32333635	HDAC1	1
ENSG00000152767	98142562	98455176	FARP1	13
ENSG00000111640	6533927	6538374	GAPDH	12
ENSG00000134317	9951693	10002277	GRHL1	2
ENSG00000228581	30619830	30635627	GNL1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000231834	29930208	29934849	HLA-A	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000204590	30541377	30557174	GNL1	6
ENSG00000185340	29306582	29312785	GAS2L1	22
ENSG00000047932	117560269	117602542	GOPC	6
ENSG00000070601	37651000	37746904	FRMPD1	9
ENSG00000235986	30531215	30547013	GNL1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000048828	93451722	93566107	FAM120A	9
ENSG00000144369	186693971	186765965	FAM171B	2
ENSG00000125651	6379569	6393981	GTF2F1	19
ENSG00000273889	143710940	143720808	FAM83H	CHR_HSCHR8_3_CTG7
ENSG00000121104	49710332	49789180	FAM117A	17
ENSG00000162676	92474762	92486876	GFI1	1
ENSG00000124635	27125897	27132750	HIST1H2BJ	6
ENSG00000106070	50590063	50793462	GRB10	7
ENSG00000174842	92246402	92298987	GLMN	1
ENSG00000229470	30531607	30547405	GNL1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000234289	43565189	43565648	H2BFS	21
ENSG00000075420	172039628	172401665	FNDC3B	3
ENSG00000115207	27325849	27357034	GTF3C2	2
ENSG00000109920	47716517	47767443	FNBP4	11
ENSG00000068024	239048168	239401654	HDAC4	2
ENSG00000167363	82735575	82751197	FN3K	17
ENSG00000116032	1000419	1009732	GRIN3B	19
ENSG00000125166	58707131	58734357	GOT2	16
ENSG00000174500	112120841	112133305	GCSAM	3
ENSG00000114353	50226292	50259355	GNAI2	3
ENSG00000168672	126552442	126558393	FAM84B	8
ENSG00000075426	28392448	28417312	FOSL2	2
ENSG00000148180	121207794	121332843	GSN	9
ENSG00000225691	31345885	31349256	HLA-C	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000161513	74862497	74873031	FDXR	17
ENSG00000189139	44504342	44507279	FSCB	14
ENSG00000167861	74950743	74973166	HID1	17
ENSG00000178605	304529	318819	GTPBP6	X
ENSG00000213654	32190766	32195523	GPSM3	6
ENSG00000241910	32846263	32850548	HLA-DOB	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000165140	94603133	94640249	FBP1	9
ENSG00000151327	35044907	35113130	FAM177A1	14
ENSG00000132475	75776434	75785893	H3F3B	17
ENSG00000138622	73319859	73369264	HCN4	15
ENSG00000149781	64206678	64223886	FERMT3	11
ENSG00000182963	44798448	44830816	GJC1	17
ENSG00000135723	67229387	67247658	FHOD1	16
ENSG00000084754	26190635	26244726	HADHA	2
ENSG00000186566	44395284	44503430	GPATCH8	17
ENSG00000075240	46576012	46679790	GRAMD4	22
ENSG00000064393	139561570	139777778	HIPK2	7
ENSG00000053254	89124871	89619149	FOXN3	14
ENSG00000145868	148383935	148442836	FBXO38	5
ENSG00000198643	58633946	58666848	FAM3D	3
ENSG00000104059	29120254	29570723	FAM189A1	15
ENSG00000125447	75236599	75262363	GGA3	17
ENSG00000276802	28110217	28435080	HERC2	CHR_HSCHR15_4_CTG8
ENSG00000165323	92352096	92896470	FAT3	11
ENSG00000185477	89236386	89308010	GPRIN3	4
ENSG00000132436	50444128	50542535	FIGNL1	7
ENSG00000114745	39096659	39108363	GORASP1	3
ENSG00000125772	5544404	5611026	GPCPD1	20
ENSG00000113161	75336329	75362104	HMGCR	5
ENSG00000122591	22889371	23014130	FAM126A	7
ENSG00000277278	28320122	28322152	HERC2	CHR_HSCHR15_1_CTG8
ENSG00000166801	59142748	59155039	FAM111A	11
ENSG00000166073	39799032	39920892	GPR176	15
ENSG00000133193	73207353	73236753	FAM104A	17
ENSG00000249948	22692914	22819575	GBA3	4
ENSG00000104381	74321130	74488872	GDAP1	8
ENSG00000145216	53377643	53460861	FIP1L1	4
ENSG00000183615	32247233	32248856	FAM167B	1
ENSG00000147421	28890394	29064764	HMBOX1	8
ENSG00000167996	61959718	61967660	FTH1	11
ENSG00000127084	92947451	93036236	FGD3	9
ENSG00000161682	44353215	44363875	FAM171A2	17
ENSG00000154803	17212212	17237188	FLCN	17
ENSG00000128591	128830377	128859274	FLNC	7
ENSG00000273564	29260596	29720617	FAM189A1	CHR_HSCHR15_4_CTG8
ENSG00000125812	23362182	23373063	GZF1	20
ENSG00000100031	24583750	24629005	GGT1	22
ENSG00000163938	52681156	52694492	GNL3	3
ENSG00000160219	154675249	154751583	GAB3	X
ENSG00000155744	200973718	201071671	FAM126B	2
ENSG00000146535	2728112	2844324	GNA12	7
ENSG00000137309	34236873	34246231	HMGA1	6
ENSG00000188352	20658309	20995955	FOCAD	9
ENSG00000124827	10873223	10881941	GCM2	6
ENSG00000132463	70815782	70839945	GRSF1	4
ENSG00000125898	833715	857463	FAM110A	20
ENSG00000105701	18531751	18544077	FKBP8	19
ENSG00000152133	37084451	37099244	GPATCH11	2
ENSG00000108010	130136399	130184521	GLRX3	10
ENSG00000156504	134769566	134797232	FAM122B	X
ENSG00000136830	127505339	127578989	FAM129B	9
ENSG00000140525	89243949	89317261	FANCI	15
ENSG00000088832	1368978	1393172	FKBP1A	20
ENSG00000160211	154531390	154547572	G6PD	X
ENSG00000138678	83535914	83605875	GPAT3	4
ENSG00000197798	126211414	126262986	FAM118B	11
ENSG00000108840	44076746	44123702	HDAC5	17
ENSG00000114861	70952817	71583993	FOXP1	3
ENSG00000119514	98807699	98850081	GALNT12	9
ENSG00000100083	37608475	37633564	GGA1	22
ENSG00000109519	7058906	7068197	GRPEL1	4
ENSG00000184897	129314771	129316277	H1FX	3
ENSG00000163946	56620133	56683237	FAM208A	3
ENSG00000139675	52642425	52643796	HNRNPA1L2	13
ENSG00000115641	105357712	105438513	FHL2	2
ENSG00000068078	1793293	1808872	FGFR3	4
ENSG00000124097	57488392	57489027	HMGB1P1	20
ENSG00000075218	46296741	46330810	GTSE1	22
ENSG00000282019	34359480	34381539	GPI	CHR_HSCHR19_2_CTG3_1
ENSG00000171055	36531805	36646087	FEZ2	2
ENSG00000110422	33256672	33357023	HIPK3	11
ENSG00000197712	38867677	38945739	FAM114A1	4
ENSG00000138029	26243170	26290468	HADHB	2
ENSG00000113648	135333900	135399914	H2AFY	5
ENSG00000179348	128479427	128493185	GATA2	3
ENSG00000083307	101492432	101669726	GRHL2	8
ENSG00000057608	5765223	5842132	GDI2	10
ENSG00000107862	102245532	102382899	GBF1	10
ENSG00000262666	155262609	155270887	FAM189B	CHR_HSCHR1_2_CTG31
ENSG00000224320	29879141	29999464	HLA-A	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000175265	34379068	34437466	GOLGA8A	15
ENSG00000168496	61792637	61797244	FEN1	11
ENSG00000137714	110429883	110464881	FDX1	11
ENSG00000119321	113161006	113221361	FKBP15	9
ENSG00000100292	35380361	35394214	HMOX1	22
ENSG00000150907	40469953	40666597	FOXO1	13
ENSG00000151474	13643706	14462142	FRMD4A	10
ENSG00000107485	8045378	8075203	GATA3	10
ENSG00000095951	12008762	12164999	HIVEP1	6
ENSG00000084207	67583595	67586656	GSTP1	11
ENSG00000107937	988019	1019936	GTPBP4	10
ENSG00000131386	16174649	16231992	GALNT15	3
ENSG00000140632	4803203	4847342	GLYR1	16
ENSG00000136732	126655933	126696670	GYPC	2
ENSG00000182366	375931	383174	FAM87A	8
ENSG00000101336	32052188	32101856	HCK	20
ENSG00000169567	131159027	131171735	HINT1	5
ENSG00000037637	16246839	16352454	FBXO42	1
ENSG00000136068	58008400	58172251	FLNB	3
ENSG00000033327	78215297	78418348	GAB2	11
ENSG00000094631	48801377	48824982	HDAC6	X
ENSG00000154783	14810853	14934565	FGD5	3
ENSG00000166503	83112738	83208018	HDGFL3	15
ENSG00000183624	129278828	129306186	HMCES	3
ENSG00000138757	75642782	75724525	G3BP2	4
